gene,enzyme_wild,enzyme_over,reaction_bio,reaction_pro,ref_e_con(g/gDW),over_e_con(g/gDW),Fold_change,enzyme_usage_over,manipulations_x,e1(mmol/gDW),kcat(1/h),mw(g/mg),reaction,flux_wild,flux_over,equation,manipulations_y,type
Cgl2491,"['4.132e-03', '4.289e-03']","['4.165e-04', '5.204e-04']","3OAS100_num1 (0.18833934715416673): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.1030499612865986): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.1030499612865986): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793221147): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715416673): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715416673): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715416673): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5769,down,2.974e-05,,14.75,AACPS3_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '6.971e+00']",ACP_c + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.165e-04', '5.204e-04']","3OAS100_num1 (0.18833934715416673): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.1030499612865986): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.1030499612865986): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793221147): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715416673): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715416673): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715416673): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5769,down,2.974e-05,,14.75,AACPS4_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '6.971e+00']",ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.165e-04', '5.204e-04']","3OAS100_num1 (0.18833934715416673): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.1030499612865986): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.1030499612865986): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793221147): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715416673): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715416673): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715416673): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5769,down,2.974e-05,,14.75,AACPS5_num1,"['0.000e+00', '0.000e+00']","['0.000e+00', '0.000e+00']",ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.165e-04', '5.204e-04']","3OAS100_num1 (0.18833934715416673): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.1030499612865986): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.1030499612865986): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793221147): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715416673): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715416673): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715416673): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5769,down,2.974e-05,,14.75,AACPS6_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '6.971e+00']",ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.165e-04', '5.204e-04']","3OAS100_num1 (0.18833934715416673): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.1030499612865986): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.1030499612865986): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793221147): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715416673): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715416673): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715416673): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5769,down,2.974e-05,,14.75,AACPS7_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '6.971e+00']",ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.165e-04', '5.204e-04']","3OAS100_num1 (0.18833934715416673): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.1030499612865986): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.1030499612865986): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793221147): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715416673): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715416673): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715416673): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5769,down,2.974e-05,,14.75,AACPS8_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '6.971e+00']",ACP_c + atp_c + dca_c --> amp_c + dcaACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.165e-04', '5.204e-04']","3OAS100_num1 (0.18833934715416673): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.1030499612865986): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.1030499612865986): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793221147): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715416673): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715416673): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715416673): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5769,down,2.974e-05,,14.75,AACPS9_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '6.971e+00']",ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.165e-04', '5.204e-04']","3OAS100_num1 (0.18833934715416673): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.1030499612865986): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.1030499612865986): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793221147): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715416673): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715416673): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715416673): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5769,down,2.974e-05,,14.75,ACPS1_num1,"['0.000e+00', '0.000e+00']","['0.000e+00', '0.000e+00']",apoACP_c + coa_c --> ACP_c + h_c + pap_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.165e-04', '5.204e-04']","3OAS100_num1 (0.18833934715416673): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.1030499612865986): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.1030499612865986): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793221147): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715416673): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715416673): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715416673): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5769,down,2.974e-05,,14.75,KAS14_num1,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.165e-04', '5.204e-04']","3OAS100_num1 (0.18833934715416673): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.1030499612865986): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.1030499612865986): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793221147): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715416673): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715416673): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715416673): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5769,down,2.974e-05,,14.75,KAS15_num1,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c,,Overlaped Reaction Range
Cgl1010,"['2.298e-04', '3.536e-04']","['4.120e-04', '4.907e-04']",FUM (1.553248499744382): fum_c + h2o_c --> mal__L_c,FUM (2.7773473442952556): fum_c + h2o_c --> mal__L_c,0.0002316,0.0004142,1.788,0.5446,Up,2.061e-06,"[('FUM', 1347599.9999999998)]",201.0,FUM,"['1.170e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",fum_c + h2o_c --> mal__L_c,,Overlaped Reaction Range
Cgl1609 and Cgl1610,"['3.809e-03', '3.920e-03']","['4.009e-04', '4.815e-04']",CBPS (0.14197078837829086): 2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,,0.003809,0.0004009,0.1053,0.5272,down,1.236e-06,,324.3,CBPS,"['0.000e+00', '2.802e+00']","['0.000e+00', '3.485e+00']",2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,,Overlaped Reaction Range
Cgl2380,"['1.645e-04', '2.953e-04']","['4.029e-04', '4.781e-04']",MDH (1.553248499744382): mal__L_c + nad_c --> h_c + nadh_c + oaa_c,MDH_reverse (3.381946264926617): h_c + nadh_c + oaa_c --> mal__L_c + nad_c,0.0001839,0.0004005,2.177,0.5266,Up,2.868e-06,"[('MDH_reverse', 1179163.6363636365)]",139.6,MDH,"['0.000e+00', '1.000e+03']","['0.000e+00', '9.991e+02']",mal__L_c + nad_c --> h_c + nadh_c + oaa_c,,Overlaped Reaction Range
Cgl2380,"['1.645e-04', '2.953e-04']","['4.029e-04', '4.781e-04']",MDH (1.553248499744382): mal__L_c + nad_c --> h_c + nadh_c + oaa_c,MDH_reverse (3.381946264926617): h_c + nadh_c + oaa_c --> mal__L_c + nad_c,0.0001839,0.0004005,2.177,0.5266,Up,2.868e-06,"[('MDH_reverse', 1179163.6363636365)]",139.6,MDH3,"['0.000e+00', '7.472e+00']","['0.000e+00', '6.401e+00']",mal__L_c + mqn8_c --> mql8_c + oaa_c,,Overlaped Reaction Range
Cgl3007,"['0.000e+00', '1.220e-04']","['3.941e-04', '4.711e-04']",,ME2 (6.159293609221873): mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,,0.0003941,,0.5182,Up,9.628e-06,"[('ME2', 639742.7647058824)]",40.93,ME2,"['0.000e+00', '6.198e+00']","['9.303e-01', '1.022e+01']",mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,,Overlaped Reaction Range
Cgl3007,"['0.000e+00', '1.220e-04']","['3.941e-04', '4.711e-04']",,ME2 (6.159293609221873): mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,,0.0003941,,0.5182,Up,9.628e-06,"[('ME2', 639742.7647058824)]",40.93,ME1_num2,"['0.000e+00', '5.604e+00']","['0.000e+00', '6.971e+00']",mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,,Overlaped Reaction Range
Cgl2079,"['1.736e-04', '2.960e-04']","['3.483e-04', '4.252e-04']",GLUDy (2.896121143690544): akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,GLUDy (5.786578001484948): akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,0.0001747,0.0003492,1.998,0.4591,Up,1.188e-06,"[('GLUDy', 4871280.0)]",293.9,GLUDy,"['0.000e+00', '1.736e+01']","['0.000e+00', '1.054e+01']",akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,,Overlaped Reaction Range
Cgl0252,"['4.434e-05', '1.700e-04']","['3.265e-04', '4.025e-04']",ASAD_reverse (0.4082974825357635): 4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c,ASAD_reverse (2.7769602715923583): 4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c,4.801e-05,0.0003265,6.801,0.4293,Up,4.508e-06,"[('ASAD_reverse', 615954.0)]",72.42,ASAD,"['0.000e+00', '9.997e+02']","['0.000e+00', '9.967e+02']",aspsa_c + nadp_c + pi_c --> 4pasp_c + h_c + nadph_c,,Overlaped Reaction Range
Cgl0828,"['2.026e-03', '2.188e-03']","['1.946e-04', '2.936e-04']",PSERT (0.4626287798991518): 3php_c + glu__L_c --> akg_c + pser__L_c,,0.002067,0.0002176,0.1053,0.2861,down,5.433e-06,,40.05,OHPBAT,"['0.000e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",glu__L_c + ohpb_c --> akg_c + phthr_c,,Overlaped Reaction Range
Cgl0828,"['2.026e-03', '2.188e-03']","['1.946e-04', '2.936e-04']",PSERT (0.4626287798991518): 3php_c + glu__L_c --> akg_c + pser__L_c,,0.002067,0.0002176,0.1053,0.2861,down,5.433e-06,,40.05,PSERT,"['4.023e-01', '3.735e+00']","['4.235e-02', '3.161e+00']",3php_c + glu__L_c --> akg_c + pser__L_c,,Overlaped Reaction Range
Cgl1315 and Cgl1316,"['2.014e-03', '2.136e-03']","['2.120e-04', '2.882e-04']","IPPMIa_reverse (0.15699863174631268): 2ippm_c + h2o_c --> 3c2hmp_c, IPPMIb_reverse (0.15699863174631268): 3c3hmp_c --> 2ippm_c + h2o_c",,0.002014,0.000212,0.1053,0.2788,down,2.869e-06,,73.9,IPPMIa,"['0.000e+00', '9.998e+02']","['0.000e+00', '1.000e+03']",3c2hmp_c --> 2ippm_c + h2o_c,,Overlaped Reaction Range
Cgl1315 and Cgl1316,"['2.014e-03', '2.136e-03']","['2.120e-04', '2.882e-04']","IPPMIa_reverse (0.15699863174631268): 2ippm_c + h2o_c --> 3c2hmp_c, IPPMIb_reverse (0.15699863174631268): 3c3hmp_c --> 2ippm_c + h2o_c",,0.002014,0.000212,0.1053,0.2788,down,2.869e-06,,73.9,IPPMIb,"['0.000e+00', '9.998e+02']","['0.000e+00', '1.000e+03']",2ippm_c + h2o_c --> 3c3hmp_c,,Overlaped Reaction Range
Cgl1273,"['1.742e-03', '1.864e-03']","['1.834e-04', '2.593e-04']",KARA1_reverse (0.27938737337784963): alac__S_c + h_c + nadph_c --> 23dhmb_c + nadp_c,,0.001742,0.0001834,0.1053,0.2411,down,5.071e-06,,36.16,KARA1,"['0.000e+00', '9.997e+02']","['0.000e+00', '1.000e+03']",23dhmb_c + nadp_c --> alac__S_c + h_c + nadph_c,,Overlaped Reaction Range
Cgl1273,"['1.742e-03', '1.864e-03']","['1.834e-04', '2.593e-04']",KARA1_reverse (0.27938737337784963): alac__S_c + h_c + nadph_c --> 23dhmb_c + nadp_c,,0.001742,0.0001834,0.1053,0.2411,down,5.071e-06,,36.16,KARA2,"['8.539e-02', '1.000e+03']","['8.988e-03', '1.000e+03']",2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c,,Overlaped Reaction Range
Cgl1109,"['6.525e-06', '1.277e-04']","['1.746e-04', '2.506e-04']",SDPDS (0.1028590785522161): h2o_c + sl26da_c --> 26dap_LL_c + succ_c,SDPDS (2.7516888435537794): h2o_c + sl26da_c --> 26dap_LL_c + succ_c,6.525e-06,0.0001746,26.75,0.2295,Up,4.367e-06,"[('SDPDS', 630137.328)]",39.97,SDPDS,"['0.000e+00', '2.906e-01']","['0.000e+00', '1.468e+00']",h2o_c + sl26da_c --> 26dap_LL_c + succ_c,,Overlaped Reaction Range
Cgl1452,"['2.342e-04', '3.742e-04']","['1.085e-04', '1.927e-04']",GND (2.8144430243600667): 6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,GND (1.2982586472067883): 6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,0.000253,0.0001167,0.4613,0.1534,down,1.11e-06,"[('GND', 1170000.0)]",105.2,GND,"['0.000e+00', '8.571e+00']","['7.742e-01', '6.351e+00']",6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR100x,"['0.000e+00', '9.092e-02']","['0.000e+00', '1.341e-02']",h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR100y,"['0.000e+00', '9.090e-02']","['0.000e+00', '1.340e-02']",h_c + nadph_c + tdec2eACP_c --> dcaACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR120x,"['0.000e+00', '9.092e-02']","['0.000e+00', '1.341e-02']",h_c + nadh_c + tddec2eACP_c --> ddcaACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR120y,"['0.000e+00', '9.090e-02']","['0.000e+00', '1.340e-02']",h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR121x,"['0.000e+00', '1.099e-01']","['0.000e+00', '1.620e-02']",h_c + nadh_c + t3c5ddeceACP_c --> cddec5eACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR121y,"['0.000e+00', '1.098e-01']","['0.000e+00', '1.619e-02']",h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR140x,"['0.000e+00', '9.092e-02']","['0.000e+00', '1.341e-02']",h_c + nadh_c + tmrs2eACP_c --> myrsACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['6.030e-05', '1.448e-04']","EAR121y (0.1030499612865986): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.1030499612865986): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.10080994793221147): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715416673): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715416673): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715416673): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.09049,down,2.47e-06,,27.87,EAR140y,"['0.000e+00', '9.090e-02']","['0.000e+00', '1.340e-02']",h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c,,Overlaped Reaction Range
