gene,enzyme_wild,enzyme_over,reaction_bio,reaction_pro,ref_e_con(g/gDW),over_e_con(g/gDW),Fold_change,enzyme_usage_over,manipulations_x,e1(mmol/gDW),kcat(1/h),mw(g/mg),reaction,flux_wild,flux_over,equation,manipulations_y,type
Cgl2491,"['4.133e-03', '4.289e-03']","['4.136e-04', '5.304e-04']","3OAS100_num1 (0.18833934715413447): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128658092): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128658092): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479321942): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715413433): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715413447): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715413433): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5101,down,2.974e-05,,14.75,AACPS9_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '6.971e+00']",ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.136e-04', '5.304e-04']","3OAS100_num1 (0.18833934715413447): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128658092): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128658092): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479321942): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715413433): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715413447): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715413433): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5101,down,2.974e-05,,14.75,ACPS1_num1,"['0.000e+00', '0.000e+00']","['0.000e+00', '0.000e+00']",apoACP_c + coa_c --> ACP_c + h_c + pap_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.136e-04', '5.304e-04']","3OAS100_num1 (0.18833934715413447): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128658092): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128658092): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479321942): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715413433): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715413447): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715413433): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5101,down,2.974e-05,,14.75,KAS14_num1,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.133e-03', '4.289e-03']","['4.136e-04', '5.304e-04']","3OAS100_num1 (0.18833934715413447): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128658092): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128658092): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.1008099479321942): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715413433): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715413447): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715413433): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.5101,down,2.974e-05,,14.75,KAS15_num1,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c,,Overlaped Reaction Range
Cgl1609 and Cgl1610,"['3.809e-03', '3.930e-03']","['4.009e-04', '4.869e-04']",CBPS (0.14197078837826646): 2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,,0.003809,0.0004009,0.1053,0.4661,down,1.236e-06,,324.3,CBPS,"['0.000e+00', '2.802e+00']","['0.000e+00', '3.485e+00']",2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,,Overlaped Reaction Range
Cgl0366 and Cgl2207 and Cgl2248,"['4.986e-03', '5.165e-03']","['0.000e+00', '3.858e-04']",PDH (4.392635305095377): coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,PDH (0.2626395569941219): coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,0.005043,0.0003015,0.05979,0.3505,down,1.501e-07,"[('PDH', 1749600.0)]",2009.0,PDH,"['9.215e-01', '8.137e+00']","['0.000e+00', '2.647e+00']",coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,,Overlaped Reaction Range
Cgl0828,"['2.026e-03', '2.189e-03']","['1.916e-04', '3.034e-04']",PSERT (0.4626287798990725): 3php_c + glu__L_c --> akg_c + pser__L_c,,0.002067,0.0002176,0.1053,0.2529,down,5.433e-06,,40.05,OHPBAT,"['0.000e+00', '1.000e+03']","['0.000e+00', '1.000e+03']",glu__L_c + ohpb_c --> akg_c + phthr_c,,Overlaped Reaction Range
Cgl0828,"['2.026e-03', '2.189e-03']","['1.916e-04', '3.034e-04']",PSERT (0.4626287798990725): 3php_c + glu__L_c --> akg_c + pser__L_c,,0.002067,0.0002176,0.1053,0.2529,down,5.433e-06,,40.05,PSERT,"['4.023e-01', '3.735e+00']","['4.235e-02', '3.468e+00']",3php_c + glu__L_c --> akg_c + pser__L_c,,Overlaped Reaction Range
Cgl1315 and Cgl1316,"['2.014e-03', '2.136e-03']","['2.120e-04', '2.980e-04']","IPPMIa_reverse (0.15699863174628573): 2ippm_c + h2o_c --> 3c2hmp_c, IPPMIb_reverse (0.15699863174628573): 3c3hmp_c --> 2ippm_c + h2o_c",,0.002014,0.000212,0.1053,0.2465,down,2.869e-06,,73.9,IPPMIa,"['0.000e+00', '9.998e+02']","['0.000e+00', '1.000e+03']",3c2hmp_c --> 2ippm_c + h2o_c,,Overlaped Reaction Range
Cgl1315 and Cgl1316,"['2.014e-03', '2.136e-03']","['2.120e-04', '2.980e-04']","IPPMIa_reverse (0.15699863174628573): 2ippm_c + h2o_c --> 3c2hmp_c, IPPMIb_reverse (0.15699863174628573): 3c3hmp_c --> 2ippm_c + h2o_c",,0.002014,0.000212,0.1053,0.2465,down,2.869e-06,,73.9,IPPMIb,"['0.000e+00', '9.998e+02']","['0.000e+00', '1.000e+03']",2ippm_c + h2o_c --> 3c3hmp_c,,Overlaped Reaction Range
Cgl1273,"['1.742e-03', '1.864e-03']","['1.834e-04', '2.740e-04']",KARA1_reverse (0.2793873733778019): alac__S_c + h_c + nadph_c --> 23dhmb_c + nadp_c,,0.001742,0.0001834,0.1053,0.2132,down,5.071e-06,,36.16,KARA1,"['0.000e+00', '9.997e+02']","['0.000e+00', '1.000e+03']",23dhmb_c + nadp_c --> alac__S_c + h_c + nadph_c,,Overlaped Reaction Range
Cgl1273,"['1.742e-03', '1.864e-03']","['1.834e-04', '2.740e-04']",KARA1_reverse (0.2793873733778019): alac__S_c + h_c + nadph_c --> 23dhmb_c + nadp_c,,0.001742,0.0001834,0.1053,0.2132,down,5.071e-06,,36.16,KARA2,"['8.539e-02', '1.000e+03']","['8.988e-03', '1.000e+03']",2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c,,Overlaped Reaction Range
Cgl0664,"['2.556e-03', '2.733e-03']","['9.538e-05', '1.859e-04']",ICDHyr (1.9478573234385412): icit_c + nadp_c --> akg_c + co2_c + nadph_c,,0.002611,9.538e-05,0.03652,0.1109,down,1.191e-06,,80.08,ICDHyr,"['5.803e-01', '3.437e+00']","['6.109e-02', '1.257e+00']",icit_c + nadp_c --> akg_c + co2_c + nadph_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR100x,"['0.000e+00', '9.092e-02']","['0.000e+00', '1.341e-02']",h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR100y,"['0.000e+00', '9.090e-02']","['0.000e+00', '1.340e-02']",h_c + nadph_c + tdec2eACP_c --> dcaACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR120x,"['0.000e+00', '9.092e-02']","['0.000e+00', '1.341e-02']",h_c + nadh_c + tddec2eACP_c --> ddcaACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR120y,"['0.000e+00', '9.090e-02']","['0.000e+00', '1.340e-02']",h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR121x,"['0.000e+00', '1.099e-01']","['0.000e+00', '1.620e-02']",h_c + nadh_c + t3c5ddeceACP_c --> cddec5eACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR121y,"['0.000e+00', '1.098e-01']","['0.000e+00', '1.619e-02']",h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR140x,"['0.000e+00', '9.092e-02']","['0.000e+00', '1.341e-02']",h_c + nadh_c + tmrs2eACP_c --> myrsACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR140y,"['0.000e+00', '9.090e-02']","['0.000e+00', '1.340e-02']",h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR141x,"['0.000e+00', '1.099e-01']","['0.000e+00', '1.620e-02']",h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR141y,"['0.000e+00', '1.098e-01']","['0.000e+00', '1.619e-02']",h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR160x,"['0.000e+00', '8.961e-02']","['0.000e+00', '1.321e-02']",h_c + nadh_c + tpalm2eACP_c --> nad_c + palmACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR160y,"['0.000e+00', '8.959e-02']","['0.000e+00', '1.320e-02']",h_c + nadph_c + tpalm2eACP_c --> nadp_c + palmACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR161x,"['0.000e+00', '1.075e-01']","['0.000e+00', '1.585e-02']",h_c + nadh_c + t3c9palmeACP_c --> hdeACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR161y,"['0.000e+00', '1.074e-01']","['0.000e+00', '1.583e-02']",h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR180x,"['0.000e+00', '1.837e-03']","['0.000e+00', '2.709e-04']",h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR180y,"['0.000e+00', '1.837e-03']","['0.000e+00', '2.709e-04']",h_c + nadph_c + toctd2eACP_c --> nadp_c + ocdcaACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR181x,"['0.000e+00', '1.053e-01']","['0.000e+00', '1.553e-02']",h_c + nadh_c + t3c11vaceACP_c --> nad_c + octeACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR181y,"['0.000e+00', '1.053e-01']","['0.000e+00', '1.552e-02']",h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR40x,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",but2eACP_c + h_c + nadh_c --> butACP_c + nad_c,,Overlaped Reaction Range
Cgl0719,"['3.768e-04', '4.987e-04']","['5.848e-05', '1.549e-04']","EAR121y (0.10304996128658092): h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c, EAR141y (0.10304996128658092): h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c, EAR161y (0.1008099479321942): h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c, EAR40y (0.18833934715413433): but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c, EAR60y (0.18833934715413433): h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c, EAR80y (0.18833934715413447): h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c",,0.0003768,6.882e-05,0.1827,0.08,down,2.47e-06,,27.87,EAR40y,"['0.000e+00', '2.007e-01']","['0.000e+00', '2.956e-02']",but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c,,Overlaped Reaction Range
